date,state,district,pincode,age_5_17_demo,age_17_plus_demo,age_0_5,age_5_17_enroll,age_17_plus_enroll,age_5_17,age_17_plus,enroll_rate_5_17,enroll_rate_17_plus,bio_completion_5_17,bio_completion_17_plus,low_enrollment_flag,biometric_gap_flag,priority_score
2025-09-01,Tamil Nadu,Coimbatore,641023,4,17,1.0,0.0,0.0,6.0,19.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-09-01,Tamil Nadu,Coimbatore,641024,0,9,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-09-01,Tamil Nadu,Coimbatore,641025,2,20,1.0,0.0,0.0,8.0,21.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-09-01,Tamil Nadu,Coimbatore,641026,3,11,2.0,1.0,0.0,1.0,8.0,0.3333333333333333,0.0,1.0,0.0,False,False,0.4
2025-09-01,Tamil Nadu,Coimbatore,641027,0,24,2.0,0.0,0.0,3.0,19.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-09-01,Tamil Nadu,Coimbatore,641028,4,9,1.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-09-01,Tamil Nadu,Coimbatore,641029,0,16,2.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-09-01,Tamil Nadu,Coimbatore,641030,0,8,3.0,1.0,0.0,3.0,7.0,0.0,0.0,3.0,0.0,True,False,-0.20000000000000007
2025-09-01,Tamil Nadu,Coimbatore,641031,1,4,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-09-01,Tamil Nadu,Coimbatore,641032,2,10,3.0,1.0,0.0,0.0,7.0,0.5,0.0,0.0,0.0,False,True,0.7
2025-09-01,Tamil Nadu,Coimbatore,641033,2,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-09-01,Tamil Nadu,Coimbatore,641034,0,7,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-09-01,Tamil Nadu,Coimbatore,641035,2,37,1.0,0.0,0.0,4.0,22.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-09-01,Tamil Nadu,Coimbatore,641036,0,2,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-09-01,Tamil Nadu,Coimbatore,641037,0,6,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-09-01,Tamil Nadu,Coimbatore,641038,1,5,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-09-01,Tamil Nadu,Coimbatore,641039,0,2,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-09-01,Tamil Nadu,Coimbatore,641041,3,16,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-09-01,Tamil Nadu,Coimbatore,641042,3,11,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-09-01,Tamil Nadu,Coimbatore,641043,0,3,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,1.0
