state,district,pincode,demo_age_5_17,demo_age_17_,enroll_age_0_5,enroll_age_5_17,enroll_age_18_greater,bio_age_5_17,bio_age_17_,enroll_ratio_5_17,enroll_ratio_17_plus,bio_ratio_5_17,bio_ratio_17_plus
Karnataka,Vijayanagara,583130,53.0,294.0,67.0,20.0,2.0,759.0,3065.0,0.37735849056603776,0.006802721088435374,14.320754716981131,10.42517006802721
Madhya Pradesh,Harda *,461251,5.0,87.0,39.0,8.0,0.0,198.0,899.0,1.6,0.0,39.6,10.333333333333334
Nagaland,Kohima,797002,7.0,55.0,24.0,62.0,2.0,198.0,560.0,8.857142857142858,0.03636363636363636,28.285714285714285,10.181818181818182
Gujarat,Vadodara,391152,17.0,202.0,31.0,7.0,0.0,378.0,2042.0,0.4117647058823529,0.0,22.235294117647058,10.108910891089108
Nagaland,Kohima,797003,23.0,137.0,72.0,117.0,22.0,445.0,1323.0,5.086956521739131,0.16058394160583941,19.347826086956523,9.656934306569344
Kerala,Thrissur,680594,7.0,84.0,24.0,5.0,4.0,159.0,801.0,0.7142857142857143,0.047619047619047616,22.714285714285715,9.535714285714286
Punjab,Rupnagar,140116,19.0,162.0,48.0,3.0,0.0,732.0,1544.0,0.15789473684210525,0.0,38.526315789473685,9.530864197530864
Maharashtra,Nandurbar,425415,36.0,498.0,232.0,29.0,4.0,3045.0,4709.0,0.8055555555555556,0.008032128514056224,84.58333333333333,9.45582329317269
Madhya Pradesh,Burhanpur,450661,9.0,35.0,12.0,7.0,0.0,399.0,323.0,0.7777777777777778,0.0,44.333333333333336,9.228571428571428
Arunachal Pradesh,Kurung Kumey,791118,106.0,229.0,19.0,44.0,12.0,1299.0,2091.0,0.41509433962264153,0.05240174672489083,12.254716981132075,9.131004366812228
Nagaland,Kohima,797105,28.0,136.0,26.0,50.0,11.0,343.0,1241.0,1.7857142857142858,0.08088235294117647,12.25,9.125
Himachal Pradesh,Solan,173230,1.0,1.0,1.0,0.0,0.0,7.0,9.0,0.0,0.0,7.0,9.0
Maharashtra,Mumbai,400606,0.0,0.0,1.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,9.0
Gujarat,Sabar Kantha,383317,0.0,1.0,3.0,0.0,0.0,2.0,9.0,0.0,0.0,2.0,9.0
Madhya Pradesh,Sehore,466117,1.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0
Andhra Pradesh,Rangareddi,509339,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0
Maharashtra,Amravati,444701,166.0,1862.0,226.0,36.0,11.0,5598.0,16399.0,0.21686746987951808,0.005907626208378088,33.72289156626506,8.80719656283566
Himachal Pradesh,Mandi,174401,16.0,185.0,60.0,0.0,1.0,923.0,1622.0,0.0,0.005405405405405406,57.6875,8.767567567567568
Gujarat,Vadodara,391150,34.0,420.0,38.0,17.0,0.0,697.0,3657.0,0.5,0.0,20.5,8.707142857142857
Chhattisgarh,Dantewada,494556,44.0,100.0,49.0,14.0,0.0,387.0,864.0,0.3181818181818182,0.0,8.795454545454545,8.64
Tamil Nadu,Perambalur,621716,236.0,479.0,98.0,20.0,0.0,1774.0,4112.0,0.0847457627118644,0.0,7.516949152542373,8.58455114822547
Haryana,Kurukshetra,136130,34.0,265.0,75.0,0.0,0.0,838.0,2274.0,0.0,0.0,24.647058823529413,8.581132075471698
Rajasthan,Pali,306601,13.0,78.0,30.0,16.0,0.0,390.0,668.0,1.2307692307692308,0.0,30.0,8.564102564102564
Pondicherry,Pondicherry,607402,31.0,297.0,57.0,3.0,0.0,359.0,2535.0,0.0967741935483871,0.0,11.580645161290322,8.535353535353535
Himachal Pradesh,Mandi,175048,18.0,55.0,46.0,0.0,0.0,341.0,469.0,0.0,0.0,18.944444444444443,8.527272727272727
Mizoram,Serchhip,796370,11.0,30.0,0.0,1.0,0.0,518.0,255.0,0.09090909090909091,0.0,47.09090909090909,8.5
